UNI1554	2	2	0	1	0	2	3	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1
UNI3400	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	3
UNI1335	17	4	38	11	3	1	180	52	11	0	12	0	6	0	5	1	23	7	1	19	5	26	8	5	7	0	0	6	5	3	8	0	11	7	19	23	27	25	13	28	6	5	4	15	36	5	24	51	2	1	13	21	22	1	8	36	2	20	13	19	5	0	0	19	2	2	0	3	15	4	5	2	6	7	8	13	3	64	10	6	5	5	13	7	41	5	8	7	8	7
UNI1660	1	4	0	0	0	0	0	0	2	0	0	0	0	1	0	1	2	0	0	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0
UNI2612	235	320	122	466	46	29	49	85	32	4	151	66	147	53	179	7	53	29	0	65	51	203	16	221	65	3	10	4	46	31	12	0	1	2	25	178	238	26	1	56	3	1	1	0	3	0	48	62	1	18	4	24	23	74	106	310	173	269	6	67	25	2	124	24	35	46	47	74	19	56	95	215	30	4	0	30	5	0	186	133	2	92	60	1	8	6	27	3	221	14
UNI20	241	152	60	114	53	56	432	73	172	38	52	54	94	105	44	29	58	5	0	173	282	181	22	568	74	143	52	32	151	103	117	0	46	5	177	181	129	569	16	78	746	12	2	10	0	119	58	28	2	509	30	16	31	16	27	544	943	814	13	53	4	1	0	33	67	53	87	15	55	41	23	61	53	41	13	98	0	0	73	120	19	71	130	0	10	2	4	1	28	5
UNI1021	27	7	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	6	2	15	2	0	0	0	0	0	0	3
UNI1823	366	73	6	255	114	457	40	1	613	816	1796	137	90	85	136	1341	444	29	12	102	18	50	6	260	54	6	0	2	99	48	3	0	15	5	48	60	22	9	1	57	6	0	2	1	0	0	0	0	0	7	115	302	327	3	2	56	14	26	324	175	1276	1	0	85	30	60	132	211	14	155	236	113	82	33	16	313	10	0	120	974	6	1050	418	1	0	2	17	2	36	0
UNI2209	2	1	0	4	1	0	6	0	4	0	0	0	0	0	1	0	0	0	0	2	7	2	0	1	0	1	0	0	0	0	2	0	0	0	0	1	3	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	6	8	4	0	0	0	0	0	1	0	0	0	0	2	1	0	1	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0
UNI983	2	3	7	0	1	0	0	0	0	0	10	9	0	0	6	3	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	1	4	0	2	2	0	0	0	0	0	0	0	0	10	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNI3139	4	3	5	5	0	11	2	0	5	2	4	1	1	0	2	4	1	0	0	1	0	6	0	22	0	1	0	0	1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	4	2	2	1	2	0	1	1	2	3	0	1	0	3	1	2	1	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
UNI156	22	5	10	16	2	61	10	7	26	18	29	0	3	2	14	21	13	7	0	7	0	14	1	90	2	5	0	0	10	4	6	0	0	0	4	5	9	0	0	0	1	0	0	0	0	0	0	0	0	0	5	3	9	0	2	3	12	9	11	1	2	0	8	1	2	3	2	0	0	9	1	0	1	2	0	0	0	0	0	1	1	11	4	0	0	0	0	0	1	4
UNI18	65	20	26	58	4	74	25	18	94	10	48	34	138	148	32	104	123	10	4	9	5	32	108	36	75	2	1	141	49	0	36	29	23	4	43	35	59	22	11	0	28	0	6	15	4	35	46	49	1	91	3	32	49	1	0	68	30	79	53	45	38	2	0	8	71	83	85	63	0	26	52	59	84	21	2	37	0	1	13	43	2	31	30	0	48	3	50	6	144	9
UNI208	7	22	53	0	18	0	0	0	1	0	6	19	7	0	12	1	0	0	0	2	0	2	1	29	1	0	0	1	0	6	2	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	2	19	13	11	4	3	37	61	60	0	17	0	3	6	2	0	3	7	1	0	0	1	0	1	0	0	0	0	0	1	0	0	2	8	0	0	0	0	0	0	6
UNI56	16	14	4	16	0	121	19	59	12	1	1	0	37	51	1	20	16	4	3	8	0	9	0	3	2	0	2	11	12	1	1	21	8	0	5	3	5	35	3	8	1	3	0	0	0	14	7	61	1	7	0	1	5	0	1	3	1	5	5	1	9	0	6	5	20	39	42	17	3	18	18	2	16	2	0	49	0	266	12	42	1	7	10	1	24	4	5	0	24	10
UNI618	2	0	0	0	0	13	1	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	2	0	14	0	1	0	3	0	1	0	0	0	33	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	1	2	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
UNI61	63	15	18	19	4	93	32	17	60	6	20	5	106	54	8	37	16	12	0	21	3	40	1	10	24	3	0	1	24	0	2	0	7	1	13	3	22	1	2	0	26	0	12	1	0	2	8	16	0	4	4	4	27	1	2	5	0	11	11	14	8	3	19	1	33	28	63	9	3	21	24	16	10	1	1	0	10	0	3	5	1	8	10	0	4	0	0	4	3	0
UNI2676	6	7	0	1	3	8	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNI333	11	19	10	0	7	1	0	0	0	1	9	0	0	0	50	2	1	56	3	2	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	0	0	1	8	1	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
UNI529	10	3	10	1	0	0	0	0	1	0	1	1	2	0	1	0	6	0	0	0	0	3	4	0	0	0	0	2	1	0	0	0	0	0	4	3	2	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	2	0	0	6	5	14	3	1	1	0	0	0	1	0	0	0	2	1	9	5	2	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0
UNI2880	2	4	0	0	0	0	0	0	0	5	4	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	1	0	1	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNI127	14	35	35	1	0	12	2	0	1	6	0	3	89	27	1	6	11	0	0	4	13	4	9	4	7	0	0	2	3	0	2	0	0	1	7	9	2	1	0	6	1	0	0	0	0	3	2	10	0	5	0	3	6	0	3	19	14	28	12	2	2	0	3	3	0	1	0	0	30	23	41	9	10	0	0	0	0	0	0	0	0	5	30	0	0	0	1	0	0	0
UNI171	7	3	1	6	0	57	11	32	5	0	0	2	24	23	0	16	11	0	1	3	0	4	0	4	2	1	0	7	2	0	1	5	1	1	0	2	7	18	3	10	1	3	0	0	1	5	1	30	2	1	0	0	0	2	1	2	0	0	6	2	3	0	6	1	15	12	34	12	1	7	16	2	7	0	0	26	0	155	3	22	2	3	8	1	7	1	5	0	34	17
UNI524	4	3	6	0	0	1	2	0	1	2	4	2	4	0	1	1	12	0	0	0	3	1	6	0	1	0	0	0	1	0	1	0	0	0	2	2	3	0	3	0	5	0	0	0	0	2	1	1	0	2	0	1	1	0	0	4	6	12	5	0	1	0	0	0	0	0	0	0	2	3	3	1	3	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	4
UNI3012	4	4	1	2	0	0	1	0	5	2	1	2	1	0	0	1	2	0	0	1	3	5	1	0	1	1	0	0	4	0	1	0	1	0	3	4	3	1	1	1	13	0	0	1	0	0	1	0	0	3	1	0	0	0	0	8	3	13	0	1	0	0	0	0	0	1	0	1	0	1	0	4	0	1	0	0	0	0	2	0	0	4	6	0	1	1	0	0	1	2
UNI2455	1	0	3	1	2	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
UNI2243	10	1	8	9	0	0	5	1	16	0	1	0	4	0	1	3	2	2	0	4	0	16	0	1	4	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	1	0	6	0	0	0	1	0	0	0	0	0	5	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	2	6	1	0	1	0	0	3	0	0	1	0	2	3	0	0	0	1	0	0	2
UNI396	2	0	0	1	0	0	21	23	9	0	0	0	15	12	0	0	2	3	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	0	3	7	0	0	2	11	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	6	0	0	1	9	9	9	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	0
UNI3	39	14	25	19	1	210	5	347	18	168	20	25	212	583	0	0	0	0	886	8	16	9	4	52	236	4	0	164	243	6	115	90	0	171	126	246	112	115	39	764	685	2200	38	1	235	1183	2	1047	196	205	21	37	49	0	0	19	23	27	33	0	63	281	0	313	1	0	0	6	124	107	1	17	58	115	111	32	10	177	31	15	0	46	14	191	22	595	397	447	41	9
