OTU ID	HE327A	HE327C	HE327D	HE327E	HE327F	HE327G	HE327J	HE327K	HE327L	HE327N
otu6604	9	10	9	0	2	0	4	0	1	0
otu150	0	2	1	1	3	5	1	8	10	3
otu185	13	4	3	0	1	2	6	1	3	1
otu394	0	0	1	0	9	6	0	6	8	4
otu3949	1	11	6	0	2	0	6	0	5	3
otu7757	3	4	6	1	1	5	3	9	1	1
otu129	20	4	6	0	1	1	1	0	0	0
otu168	0	1	0	0	8	3	2	12	4	3
otu177	0	1	0	0	14	6	2	2	7	1
otu5816	0	4	6	4	4	5	9	1	0	0
otu7477	7	2	6	0	7	6	2	0	3	0
otu8155	1	4	3	0	3	5	3	8	4	2
otu8912	13	1	13	1	3	1	1	0	0	0
otu151	2	4	6	7	5	6	1	1	0	0
otu155	0	3	0	5	6	1	3	6	6	2
otu1633	0	1	8	22	0	0	0	0	1	0
otu2194	15	4	4	0	2	2	3	1	1	0
otu245	0	2	0	2	8	4	2	5	8	1
otu3268	1	6	6	0	6	4	1	2	4	2
otu3856	1	8	3	2	1	2	7	0	6	2
otu425	20	5	1	4	0	1	1	0	0	0
otu5440	6	4	2	1	5	2	4	4	3	1
otu8385	7	4	4	9	3	1	4	0	0	0
otu4948	2	4	10	3	5	5	2	0	0	0
otu498	1	1	0	2	7	0	2	9	8	1
otu7178	0	1	2	10	6	2	6	1	2	1
otu3719	1	8	2	1	6	4	1	1	5	1
otu5057	3	5	2	0	9	4	4	0	2	1
otu1108	0	1	3	0	7	6	9	0	3	0
otu7213	0	5	5	2	5	2	2	2	4	2
otu8472	0	12	5	4	1	0	2	0	4	1
otu9293	24	3	1	0	1	0	0	0	0	0
otu312	0	4	2	5	0	2	4	5	4	2
otu3694	1	2	6	15	0	1	1	0	2	0
otu6194	0	5	2	0	1	1	7	6	6	0
otu63	0	4	2	2	2	3	4	7	3	1
otu7362	2	7	4	5	1	1	0	1	7	0
otu84	1	2	1	2	8	5	6	2	0	1
otu91	0	15	8	1	0	1	3	0	0	0
otu9587	2	3	4	2	3	1	4	2	6	1
otu992	12	7	4	0	4	0	0	0	1	0
otu1208	0	3	4	1	10	2	1	5	1	0
otu136	3	2	1	3	7	4	2	1	4	0
otu1707	6	4	6	0	0	0	0	4	6	1
otu1735	0	1	5	0	4	5	2	1	8	1
otu1743	0	0	3	1	4	2	2	5	8	2
otu477	1	4	0	1	12	4	4	0	1	0
otu5189	0	5	5	0	1	3	5	0	6	2
otu6806	3	3	4	4	1	0	4	0	5	3
otu782	0	0	1	3	1	1	3	11	3	4
otu79	6	5	10	0	1	1	3	0	1	0
otu194	0	4	9	1	4	6	1	0	1	0
otu2157	0	1	1	1	8	5	3	1	4	2
otu359	0	8	9	4	0	1	0	2	2	0
otu6116	0	4	1	9	5	2	3	1	1	0
otu6753	2	6	3	7	1	0	0	1	5	1
otu7372	3	7	6	2	0	4	0	2	1	1
